link_ID;length;width;link_class
4377906289869500514;57;3;1
4377906284594800514;247;9;1
4377906289425800514;194;3;1
4377906284525800514;839;3;1
4377906284422600514;55;12;1
4377906282532600514;29;9;1
4377906281741600514;99;9;1
4377906288593600514;62;12;1
4377906284514600514;59;9;1
4377906284959500514;22;9;1
4377906287169500514;54;12;1
4377906282969500514;47;12;1
3377906283328510514;36;15;1
4377906283815800514;20;9;1
4377906282815800514;43;9;1
4377906285041600514;30;12;1
4377906282141600514;56;12;1
4377906282541600514;270;12;1
4377906283422600514;19;12;1
4377906288893600514;85;15;1
4377906282763800514;53;12;1
3377906287674510514;44;12;1
3377906287934510514;35;9;1
9377906285615510514;18;3;1
9377906283125510514;108;9;1
4377906280815800514;192;12;1
4377906280784800514;254;9;1
9377906285566510514;143;9;1
9377906283776510514;71;9;1
4377906281763800514;26;12;1
4377906289863800514;78;12;1




