link_ID;in_links;out_links
4377906289869500514;4377906285525800514;4377906281969500514
4377906284594800514;4377906284514600514;4377906285594800514
4377906289425800514;;4377906284653600514
4377906284525800514;4377906281234600514;4377906280334600514
4377906284422600514;3377906289434510514#4377906287959500514;4377906283422600514
4377906282532600514;9377906285566510514;4377906289244800514
4377906281741600514;3377906281518510514;4377906286525800514
4377906288593600514;4377906280784800514;4377906284514600514#4377906288063800514
4377906284514600514;4377906280163800514#4377906288593600514;4377906284594800514
4377906284959500514;4377906282969500514#4377906285141600514#4377906289141600514;4377906288959500514
4377906287169500514;4377906286169500514;3377906281518510514#4377906284759500514
4377906282969500514;4377906285525800514;4377906287141600514#4377906284959500514#4377906280969500514
3377906283328510514;3377906280395510514;3377906282328510514
